participant-adress,651.7274,stop using stick,virtual,0,6585083
participant-adress,652.2021,start using stick,virtual,na
participant-adress,653.035,stop using stick,virtual,0,8328857
participant-adress,653.4755,start using stick,virtual,na
participant-adress,654.3374,stop using stick,virtual,0,8618774
participant-adress,654.7913,start using stick,virtual,na
participant-adress,655.56,stop using stick,virtual,0,7686768
participant-adress,656.1863,start using stick,virtual,na
participant-adress,657.2845,stop using stick,virtual,1,098206
participant-adress,658.1055,start using stick,virtual,na
participant-adress,663.8549,stop using stick,virtual,5,74939
participant-adress,664.3261,start using stick,virtual,na
participant-adress,708.5131,stop using stick,virtual,44,18701
participant-adress,1184.959,start using stick,virtual,na
participant-adress,1186.775,stop using stick,virtual,1,81604
participant-adress,1187.189,start using stick,virtual,na
participant-adress,1188.824,stop using stick,virtual,1,63501
participant-adress,1227.518,start using stick,virtual,na
participant-adress,1234.469,stop using stick,virtual,6,95105
participant-adress,8.640697,start using stick,virtual,na
participant-adress,28.29405,stop using stick,virtual,19,65335
participant-adress,31.99766,start using stick,virtual,na
participant-adress,35.79093,stop using stick,virtual,3,793272
participant-adress,36.81863,start using stick,virtual,na
participant-adress,38.33792,stop using stick,virtual,1,519291
participant-adress,67.01635,start using stick,virtual,na
participant-adress,70.82285,stop using stick,virtual,3,806503
participant-adress,73.79518,start using stick,virtual,na
participant-adress,85.45715,stop using stick,virtual,11,66197
participant-adress,24.65248,start using stick,virtual,na
participant-adress,27.22082,stop using stick,virtual,2,56834
participant-adress,301.7044,start preview hololens,virtual,na
participant-adress,301.7917,stop preview,virtual,0,08728027
participant-adress,9.011199,start using stick,virtual,na
participant-adress,16.84127,stop using stick,virtual,7,830071
participant-adress,23.00234,start preview kinect,virtual,na
participant-adress,23.59731,start using stick,virtual,na
participant-adress,29.54681,stop using stick,virtual,5,949501
participant-adress,29.54681,stop preview,virtual,6,54447
participant-adress,38.82281,start using stick,virtual,na
participant-adress,41.52672,stop using stick,virtual,2,703907
participant-adress,6.608369,start using stick,virtual,na
participant-adress,11.99601,stop using stick,virtual,5,387641
participant-adress,7.294806,start using stick,virtual,na
participant-adress,10.55923,stop using stick,virtual,3,264424
participant-adress,19.90916,start using stick,virtual,na
participant-adress,24.87904,stop using stick,virtual,4,969879
participant-adress,43.95942,start preview hololens,virtual,na
participant-adress,44.29275,stop preview,virtual,0,3333321
participant-adress,8.281253,start using stick,virtual,na
participant-adress,10.85956,stop using stick,virtual,2,578307
participant-adress,11.797,start using stick,virtual,na
participant-adress,19.51507,stop using stick,virtual,7,71807
participant-adress,40.69656,start preview kinect,virtual,na
participant-adress,45.83889,stop preview,virtual,5,14233
participant-adress,47.15309,start preview kinect,virtual,na
participant-adress,49.72537,stop preview,virtual,2,572277
